Cities,Longitude ,Latitude,Frequency
"Matamoros, Mexico",-97.5027,25.869,4
"New York City, NY",-74.006,40.7128,2
"Washington D.C., USA",-77.0369,38.9072,2
"Nashville, TN",-86.7816,36.1627,1
"Houston, TX",-95.3698,29.7604,3
"San Antonio, TX",-98.4946,29.4252,3
"Brownsville, TX",-97.4975,25.9017,5
"Los Angeles, CA",-118.2437,34.0522,1
"Breckenridge, CO",-106.0384,39.4817,1
"Austin, TX",-97.7431,30.2672,5
"South Pade Island, TX",-97.1681,26.1118,5
"Philadelphia, PA",-75.1652,39.9526,1
"Miami, FL",-80.1918,25.7617,1
"Marathon, TX",-103.2446,30.2052,1